t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,action0,action1,action2,M,B,K
0.013000000000000001,0.5235990673303604,2.0943949592113498,4.824921666113369e-05,-3.3254875688726315e-05,-0.00019821472,5.9319453e-05,-4.470969727776719e-08,0.2500000596046448,-7.9054473189899e-06,7.199889751063893e-06,0.0009306306310463697,0.0,-0.12657057,-0.05918827,0.74635375,4.930432446300983,235.20293273031712,1746.3537454605103
0.014,0.5235991141200066,2.094394772052765,5.2431419680942776e-05,-3.591838215015741e-05,-0.00021999104,6.36432e-05,-5.296674743249241e-08,0.2500000596046448,-8.61806029206491e-06,7.776555435157206e-06,0.0010158150871575344,0.0,-0.12657137,-0.059188776,0.74635315,4.930428825318813,235.20280607044697,1746.3531494140625
0.015,0.5235991609096527,2.094394772052765,5.6563006978649355e-05,-3.855565439607744e-05,-0.00024193489,6.795537e-05,-6.193172197299646e-08,0.2500000596046448,-9.321299216935586e-06,8.347541324837948e-06,0.0011012912182195578,0.0,-0.12657218,-0.059189282,0.74635255,4.930425204336643,235.20267941057682,1746.3525533676147
0.016,0.5235992076992989,2.094394772052765,6.06383704507607e-05,-4.116389372939011e-05,-0.00026399834,7.226682e-05,-7.159472659168387e-08,0.2500000596046448,-1.0014111921918811e-05,8.912240332392685e-06,0.0011870034541061614,0.0,-0.126573,-0.059189804,0.74635196,4.930421516299248,235.20254902541637,1746.351957321167
0.017,0.5235993012785912,2.094394772052765,6.465362262133567e-05,-4.3742553975789634e-05,-0.00028615017,7.6573335e-05,-8.194488287927015e-08,0.25000008940696716,-1.0695592891352135e-05,9.47053649724694e-06,0.0012728600268019363,0.0,-0.12657379,-0.059190296,0.7463514,4.930417962372303,235.20242609083652,1746.351420879364
0.018000000000000002,0.5235993480682374,2.094394772052765,6.860612543277966e-05,-4.62906641587324e-05,-0.00030836227,8.0879836e-05,-9.297059477830771e-08,0.25000008940696716,-1.1365206091795699e-05,1.0022217793448362e-05,0.0013588214642368257,0.0,-0.1265746,-0.059190817,0.74635077,4.9304142743349075,235.20229570567608,1746.3507652282715
0.019,0.5235994416475296,2.0943945848941805,7.249425821100885e-05,-4.880830995261931e-05,-0.00033061544,8.518485e-05,-1.0465976885143391e-07,0.25000008940696716,-1.2022535429423442e-05,1.0567302979325177e-05,0.001444837198505411,0.0,-0.12657541,-0.05919137,0.74635017,4.930410653352737,235.20215786993504,1746.3501691818237
0.02,0.5235994884371757,2.0943945848941805,7.631715707248076e-05,-5.1295469938850145e-05,-0.0003528933,8.9490655e-05,-1.1700003454961916e-07,0.25000011920928955,-1.2667366036112071e-05,1.1105787507403875e-05,0.0015308816728065722,0.0,-0.12657622,-0.059191845,0.7463496,4.930407032370567,235.20203866064548,1746.349573135376
0.021,0.5235995820164681,2.0943945848941805,8.007453643585904e-05,-5.375263317546341e-05,-0.00037518417,9.379678e-05,-1.299788152664405e-07,0.25000011920928955,-1.3299568308866583e-05,1.1637778243311914e-05,0.0016169271475519054,0.0,-0.12657705,-0.05919236,0.74634904,4.9304032772779465,235.2019101381302,1746.349036693573
0.022,0.5235996755957604,2.0943945848941805,8.376656764994549e-05,-5.618027444143081e-05,-0.00039747864,9.810431e-05,-1.4358347755205614e-07,0.25000011920928955,-1.3919121784056188e-05,1.2163376368334866e-05,0.0017029577065841295,0.0,-0.12657788,-0.059192903,0.74634844,4.930399522185326,235.2017741650343,1746.3484406471252
0.023,0.5235997223854065,2.094394397735596,8.739374334254535e-05,-5.857910055055981e-05,-0.0004197698,0.000102413156,-1.5780138085119688e-07,0.25000014901161194,-1.4526063978337334e-05,1.2682735359703656e-05,0.0017889580703922547,0.0,-0.1265787,-0.059193432,0.74634784,4.93039583414793,235.2016419172287,1746.3478446006775
