t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,M,B,K
0.010000000000000002,0.5235988994455185,2.094395005901722,3.1213768356267955e-05,-2.240444352645573e-05,-0.0001345223732865993,4.630867548982734e-05,-1.8900372267260934e-08,0.25000002089101586,-5.002887433041987e-06,4.850703799550558e-06,0.0005959553408665442,0.0,5.0,350.0,2000.0
0.011000000000000003,0.5235989326982564,2.094394982294385,3.54885824645379e-05,-2.512858281190115e-05,-0.0001554081692790745,5.0656574731879016e-05,-2.4262640563321725e-08,0.25000002600215365,-5.731073888731064e-06,5.440497024228423e-06,0.0006784187291691739,0.0,5.0,350.0,2000.0
0.012000000000000004,0.5235989702259083,2.0943949559648916,3.976359166385871e-05,-2.784876307483112e-05,-0.00017667178848230748,5.500866299221077e-05,-3.035336820778056e-08,0.2500000317026552,-6.459804082836764e-06,6.02943303252188e-06,0.0007617842044944244,0.0,5.0,350.0,2000.0
0.013000000000000005,0.5235990120192117,2.0943949269238678,4.401990367542415e-05,-3.0551724563174785e-05,-0.00019823609748574085,5.9336417502032596e-05,-3.71715679348128e-08,0.2500000379902201,-7.186012423957965e-06,6.614640996766751e-06,0.0008460017305379818,0.0,5.0,350.0,2000.0
0.014000000000000005,0.5235990580524548,2.0943948951897338,4.824350224764136e-05,-3.3235082516477845e-05,-0.0002200188845876343,6.366431946483559e-05,-4.4713114294436807e-08,0.25000004486086,-7.906492953070003e-06,7.195604594538593e-06,0.0009307520330729406,0.0,5.0,350.0,2000.0
0.015000000000000006,0.523599108287593,2.094394860785347,5.2423737454431555e-05,-3.589236650025403e-05,-0.00024197048120121772,6.798123231093039e-05,-5.297135355353255e-08,0.2500000523096262,-8.619392001129373e-06,7.770922929475103e-06,0.001015968162638697,0.0,5.0,350.0,2000.0
0.016000000000000007,0.5235991626773813,2.0943948237375616,5.6552852823308795e-05,-3.8522026771449445e-05,-0.0002640430253249174,7.229802808656231e-05,-6.193783133601194e-08,0.2500000603307043,-9.322964175549613e-06,8.34026046666013e-06,0.001101480948180555,0.0,5.0,350.0,2000.0
0.017000000000000008,0.5235992211678516,2.0943947840755004,6.062515877162511e-05,-4.112108236979968e-05,-0.00028620534694032596,7.661052822957446e-05,-7.16026960223548e-08,0.25000006891778914,-1.0016159707753438e-05,8.902971804006611e-06,0.0011872350217047632,0.0,5.0,350.0,2000.0
0.01800000000000001,0.5235992837002066,2.0943947418301265,6.463668287388913e-05,-4.3688822076650994e-05,-0.00030842942675049257,8.092365671859557e-05,-8.195511888575702e-08,0.25000007806417684,-1.069807440025663e-05,9.458902953367169e-06,0.0012731385975184378,0.0,5.0,350.0,2000.0
0.01900000000000001,0.5235993502123031,2.0943946970333367,6.858470551990929e-05,-4.622409190929962e-05,-0.00033069609927507146,8.52359513923894e-05,-9.298355138631642e-08,0.2500000877629614,-1.1368172604375056e-05,1.0007804065782813e-05,0.0013591524923070935,0.0,5.0,350.0,2000.0
0.02000000000000001,0.5235994206397863,2.0943946497176453,7.246752132358362e-05,-4.87268027888336e-05,-0.00035298897214934766,8.954969302871747e-05,-1.0467596908703136e-07,0.2500000980071032,-1.2026039114019327e-05,1.0549655851145e-05,0.0014452261431355088,0.0,5.0,350.0,2000.0
0.02100000000000001,0.5235994949169701,2.0943945999157085,7.628417299057589e-05,-5.1196763044575986e-05,-0.0003752964918257889,9.386443555374558e-05,-1.1702003285818385e-07,0.2500001087895318,-1.2671458569551292e-05,1.1084416807952935e-05,0.0015313340106089925,0.0,5.0,350.0,2000.0
0.022000000000000013,0.5235995729775081,2.09439454766012,8.003429564495809e-05,-5.363428509195126e-05,-0.0003976091454677474,9.818125911230342e-05,-1.3000323031975292e-07,0.25000012010319056,-1.330430070476661e-05,1.1612154572913373e-05,0.0016174481214715625,0.0,5.0,350.0,2000.0
0.023000000000000013,0.5235996547549078,2.094394492983162,8.371796209177518e-05,-5.603967762398317e-05,-0.00041992012976014626,0.00010250006917972759,-1.4361297387410765e-07,0.2500001319410896,-1.3924545138605961e-05,1.2132935977142896e-05,0.0017035527881679958,0.0,5.0,350.0,2000.0
0.024000000000000014,0.5235997401829189,2.0943944359166915,8.7335584068164e-05,-5.841348537852179e-05,-0.0004422240256594486,0.00010682138535451132,-1.5783668311231125e-07,0.25000014429633216,-1.4532226717071268e-05,1.2646878957279975e-05,0.0017896326996407414,0.0,5.0,350.0,2000.0
0.025000000000000015,0.5235998291958275,2.0943943764920125,9.088782145906293e-05,-6.075626546825437e-05,-0.0004645169589801435,0.00011114521463105703,-1.726618428510296e-07,0.25000015716214014,-1.512744077591506e-05,1.3154104129486205e-05,0.0018756787698028497,0.0,5.0,350.0,2000.0
0.026000000000000016,0.5235999217286729,2.09439431473982,9.43755209081291e-05,-6.306867979448801e-05,-0.0004867959512763992,0.00011547180669618914,-1.8807604984516502e-07,0.250000170531868,-1.571031624167652e-05,1.3654754797601063e-05,0.0019616828964420193,0.0,5.0,350.0,2000.0
0.027000000000000017,0.5236000177174076,2.0943942506901445,9.779966235668761e-05,-6.535139496583279e-05,-0.000509058915243626,0.00011980118315499323,-2.0406704634434725e-07,0.25000018439901367,-1.62810147765984e-05,1.4148975284880358e-05,0.0020476402243587003,0.0,5.0,350.0,2000.0
